,open,high,low,close,volume
2026-02-12,304.9497719107694,305.0712121689244,304.9064392567008,305.0488502026621,7683609
2026-02-13,304.887834325442,306.499919511201,303.6060576361384,305.79827861781615,5952266
2026-02-16,305.79510742986565,318.8466061643471,302.18665097233554,315.0846182711146,6930337
2026-02-17,315.588086892822,316.1820085756523,313.2580707196316,313.7983940021307,5330573
2026-02-18,313.9315670708005,323.1754655673152,308.25117671675304,319.5298573847771,6706127
2026-02-19,319.81615179184234,322.05050367545385,318.79068399440496,321.367878568724,9204063
2026-02-20,321.26275324193335,332.2557671996999,314.021898616424,325.82534068874855,7247694
2026-02-23,326.44971263783344,327.81604090955557,325.66233721586593,326.9194139575318,8903163
2026-02-24,326.3490161796509,339.55803346536527,323.1545568220429,332.91039535424824,3983930
2026-02-25,332.5910374833134,334.0672928237854,325.4832635155835,327.8633580124647,5497943
2026-02-26,327.9649227897938,329.89553850217663,327.537255697252,329.341320462682,4053526
2026-02-27,329.70579614448474,339.820955425376,327.49294409069915,337.82208417507945,6146545
2026-03-02,338.0999651209354,340.095992381955,331.1802001860736,334.85090101161853,6812958
2026-03-03,335.1228201133019,336.2978013905017,329.2673238832091,331.21762403696385,4669260
2026-03-04,331.2155596644915,337.4478150668159,330.0121797845257,336.4799813535552,8661703
2026-03-05,337.05896680623766,337.9151684473162,336.84465921135234,337.40917948390796,8634282
2026-03-06,337.9943730974559,338.86113673606,337.857826040301,338.5482372193727,6966989
2026-03-09,339.1356355120559,341.83547013515687,330.4059688549233,335.22553449443615,3283088
2026-03-10,334.77915173003623,339.60683819275283,333.72331010946607,338.8687544373395,7305114
2026-03-11,338.4104842992956,370.90593948044534,324.4220857626295,349.72650220949765,6294830
2026-03-12,350.4111452085664,359.76478048616866,338.90371756908536,343.61954751169355,3425857
2026-03-13,343.5615064477324,371.9860006783354,326.6207966059023,360.0,8085243
2026-03-16,360.42244164279134,362.09900658270885,355.6856189109583,357.1005402926328,6541791
2026-03-17,357.1061760766203,358.85071650885095,356.66128959180827,358.0831064811124,4400437
2026-03-18,358.6462039307767,361.34337908414926,346.56655743851326,351.20207578175956,3358936
2026-03-19,351.187949565937,352.8240943452368,348.0644491754913,349.81498856756656,5790259
2026-03-20,350.3044383273815,351.55380724611183,347.8157843132383,349.327425831074,4021251
2026-03-23,348.78630404598084,364.90262566307064,336.12695819926375,359.8928319375916,9655573
2026-03-24,360.6009756066614,361.05938577207434,359.7666251558102,360.0,5487716
2026-03-25,359.98629186216186,360.01706344071164,359.9806276040183,360.0,7388031
2026-03-26,360.2932371296741,360.4911178850723,359.7593075762719,360.0,5215109
2026-03-27,359.6673893633728,360.37702968794974,359.40638304173297,360.0,8802834
2026-03-30,359.3349741532613,360.84040639092507,358.3399814384328,360.0,9689678
2026-03-31,359.69910641901225,360.14491211152387,359.49532911647213,360.0,7717534
2026-04-01,360.2290292135163,360.3298807556704,359.8868031475514,360.0,4275914
2026-04-02,360.02607569251524,360.04636510552797,359.9879668854023,360.0,3370100
2026-04-03,359.6181690912234,360.1242971276704,359.5219180450282,360.0,6000106
2026-04-06,359.8150063824556,360.1279234784641,359.7320041718254,360.0,8211653
2026-04-07,359.28704241154986,360.3699677352264,358.7020143326482,360.0,7408822
2026-04-08,359.65575483368883,360.07434282884765,359.4646683537393,360.0,6975413
2026-04-09,360.637805831111,360.79829391477875,359.8899602384997,360.0,4070618
2026-04-10,360.5156340750338,369.917423467094,327.3242965846303,341.6759913297898,5952751
2026-04-13,341.21514978330407,343.3338031017529,340.7444143988838,342.885486340196,4795711
2026-04-14,343.1817931247191,348.8098776980242,340.0312499260371,345.7670752735219,6779441
2026-04-15,345.37426800825006,345.56523490363327,344.27166348629953,344.6868085925482,7238650
2026-04-16,345.27068464937054,347.9187673865375,344.7482499062507,347.39602288401954,4864114
2026-04-17,346.75063399925216,348.20087847815284,341.5206656977333,343.785689807961,7360047
2026-04-20,344.1747118303272,354.5336814219456,325.4673711711723,334.7659990016718,5158346
2026-04-21,334.63467774947185,338.9952184375386,323.53961290154444,327.47142929813384,5204278
2026-04-22,328.10172059466026,338.7264493693776,322.7028325827595,333.3470964690207,4156002
2026-04-23,333.68067227020623,334.8173404774538,327.1533194692674,329.91817078199136,4997982
2026-04-24,330.5069379765542,333.59330082684835,318.5793432376036,324.3953460616952,4941991
2026-04-27,323.9167563038151,328.36858924385945,301.66365312110764,313.1539501715666,4774103
2026-04-28,312.5829119553823,314.4504803596646,311.82225437167483,314.2011150288278,9324633
2026-04-29,314.10786081714184,317.67933908572184,312.9540339787423,316.9149268224418,4914642
2026-04-30,316.6602886699366,320.7329940250943,315.4478105494024,318.98858536032117,7403949
2026-05-01,318.66621538517427,333.3648990979453,293.65608003114124,306.9773277903249,4693508
2026-05-04,306.8750590155002,307.5549703131296,304.3628265667506,304.59804856455014,5124540
2026-05-05,304.7207845679404,313.02442064053815,298.3304120350487,308.6014370376463,6396930
2026-05-06,308.35263604969947,308.65462476139885,308.26638561740197,308.4956493189207,4604417
2026-05-07,308.6789907750534,343.2066896124201,295.60386547272986,321.593459488399,7282136
2026-05-08,321.94479270192767,332.7409365222473,313.9178340271209,326.41787129519474,9021926
2026-05-11,326.09352223680753,337.4370670434461,308.1681701981845,318.2903768694979,3991449
2026-05-12,317.76301246029243,319.1289021614239,312.84238423744193,315.04692335830003,6273360
2026-05-13,315.5736280609941,316.42439906917593,312.8340978873345,313.6766468290098,3572110
2026-05-14,313.9512713157483,316.45553337538536,312.51570451618625,315.40310062079203,4219192
2026-05-15,315.05762843730344,316.1962619052349,312.34902759540535,312.7131338487448,7106886
2026-05-18,312.47227609904274,314.6563218385463,303.0178802434864,306.7556329429875,4548204
2026-05-19,307.06356017037746,314.2778191176719,304.539166968414,312.28757763602147,6862822
2026-05-20,312.867737832971,314.3448999528454,310.860271416712,311.75333058847326,3349831
2026-05-21,311.480438375914,324.1965241799688,305.5349130776713,317.9669633173462,9568874
2026-05-22,318.4561781854088,321.6276958130177,309.42603714215534,313.6564113882417,4444278
2026-05-25,314.2579778908939,320.2394919246228,311.7986590014172,317.6299986893174,7345158
2026-05-26,318.13822589751766,321.7046877701848,317.3434371933741,320.883092430824,8554412
2026-05-27,320.7967213513358,321.23061296153537,318.9110108111024,319.36702567585496,4433693
2026-05-28,319.04306476931424,328.90492852701806,298.08838058071575,311.21463979643335,7482160
2026-05-29,311.5830469555723,313.2262421644841,310.81662164614113,312.50420786404555,7888038
2026-06-01,311.96801028527284,316.23075541742094,302.5645255165409,305.9774306660874,6110001
2026-06-02,305.38867418480123,308.34044907362966,299.9970120307391,302.7054758966963,5290906
2026-06-03,303.2919849131832,310.1605184256351,301.17765505143103,307.8268185747715,6090402
2026-06-04,307.97617514478105,309.6249317963228,307.76933441688413,309.2810478368775,5135757
2026-06-05,309.14936316995914,311.68877524887165,304.22768104639346,307.2111039759312,5171079
2026-06-08,306.8051167142155,309.49876447487475,300.10438596721923,303.56907270990143,7034148
2026-06-09,303.59608880699386,306.57506247986663,295.6765484473,300.38226849901145,3598428
2026-06-10,300.1033223300636,301.2457892349264,297.01410050326945,298.72314138153916,3875872
2026-06-11,298.47665702466264,300.2891063415681,291.9571453309625,294.92654195252175,3832814
2026-06-12,294.86326305200953,295.7404036497173,291.9861874183598,292.9232785041244,3070974
2026-06-15,293.06623426302707,293.70291137614385,289.40323393546873,290.0436117643174,5242202
2026-06-16,290.3069988723841,294.2189883511567,288.19321532924795,291.69108483810965,6576293
2026-06-17,291.8840307477712,303.1337424898182,285.9658554964175,298.3859452802487,8274535
2026-06-18,298.29505120237377,303.6280412963237,290.58176949514245,293.6721510350328,4135544
2026-06-19,293.83496282475886,295.15766609315654,293.1215199630951,294.43718792764855,9634610
2026-06-22,294.39117943238296,295.5245038106498,290.78230772972984,292.87462141022377,7485556
2026-06-23,293.44095751720613,293.4601391685793,293.3744565956701,293.3922740274005,5840912
2026-06-24,293.39581416822676,293.8325383571932,291.64736800020665,292.22023570096775,3399834
2026-06-25,292.22062509315873,296.3983440748481,274.03683015980073,283.42241870895424,3292586
2026-06-26,283.0331093090678,283.0518452864981,282.9911759581142,283.00426560122366,3330844
2026-06-29,283.48880791768835,295.47214883946174,264.5781019123262,273.91905868886903,3482563
2026-06-30,273.96632488459517,274.1579283468341,273.6549314796266,273.8142840878666,7418831
2026-07-01,273.6109800886371,294.93138206745493,265.28442354487686,282.6446480310422,5052615
2026-07-02,282.4880875942853,285.43621682906087,279.9657242151435,284.39195099887985,9748986
