,open,high,low,close,volume
2026-02-12,334.46450094307284,334.7002961309511,334.4132339931744,334.59649840749915,8044917
2026-02-13,334.32032577802806,348.1625885859552,330.3598730160073,345.9793241292413,4341958
2026-02-16,345.8457805649468,352.346253866033,343.006432370443,349.2754859425667,9239806
2026-02-17,349.30079309431085,365.91202104381483,340.7117453339754,356.5363922462079,9456824
2026-02-18,357.05083861729946,358.37188501082693,346.38087813184245,349.190558667429,4450545
2026-02-19,349.8280859692363,359.9775047945917,343.20925390375095,356.4209790397377,6222202
2026-02-20,357.0906217309389,366.2797866381315,331.44478406444904,344.1835412685023,4666376
2026-02-23,343.98674966719847,353.3930568454375,336.62712898375844,350.16921516916875,4017201
2026-02-24,350.08566108288176,350.99680819390943,347.1707975553245,348.32091672517026,6291217
2026-02-25,348.35099616913425,349.3009482580279,344.7637050096214,346.5511378737889,3344056
2026-02-26,346.26582755649866,349.34461239229404,342.19631916038816,344.1705406619155,5199898
2026-02-27,344.810419914279,345.3823517917247,342.9540143660197,343.2498514087538,6351753
2026-03-02,343.63413706777186,348.9400172594372,335.57109370126153,339.51164669505266,4535227
2026-03-03,340.1245401648909,341.3438224128325,338.16880501692,338.6331779181898,6525003
2026-03-04,338.03294804341823,345.42144638485763,334.501577329326,340.8527682747783,3947096
2026-03-05,340.52931039197006,341.3978563039016,335.3287187344413,337.19573751367267,7370145
2026-03-06,337.3578186105546,338.5693489693012,335.00559163250267,335.83540127801473,6565655
2026-03-09,336.377565181725,339.5361664091812,313.9644146035341,321.4081345224369,5285298
2026-03-10,322.0217252081454,324.2597271163272,321.4751883864279,323.67524331977273,4637269
2026-03-11,323.63063676567737,325.4473913668633,316.2453061418062,319.23409233350503,3656555
2026-03-12,319.8087273181348,325.06177979106593,317.0440653862423,323.89865907754347,8230853
2026-03-13,324.12561758926995,331.69517838424485,320.9696023791055,328.0526132591558,9737809
2026-03-16,327.5400572527501,333.2533935456778,323.7020587824878,331.3174324008679,6081569
2026-03-17,331.628634809641,347.66193974404456,327.6531032277921,337.86092907782063,4298628
2026-03-18,338.4151698453448,342.8322242145152,335.3282281950359,340.36918689898715,8816429
2026-03-19,340.2268057082583,352.6562245445475,332.5959861035045,345.6933097325972,8735361
2026-03-20,346.21196901906495,352.7213461565909,339.73079334632115,342.4554720764906,4201333
2026-03-23,342.1393698947869,350.0452143918587,336.95301044607925,347.2324504256547,6085300
2026-03-24,346.8918494142679,372.9873609847354,332.7239412118305,359.1949476016136,4587855
2026-03-25,358.9519293528242,363.8336256091176,347.94629961545246,354.5772591849339,6909593
2026-03-26,354.5477715676442,358.29147604299663,352.96491447512483,356.7632680679115,7776323
2026-03-27,356.7464091268757,366.40436252572135,354.15917791166424,363.59164026539486,6110019
2026-03-30,363.9212189303584,366.491673256019,354.55621048789584,358.9277254140078,6109006
2026-03-31,358.40290203367425,364.75784325478645,357.09493363590565,363.0002689802342,9731575
2026-04-01,363.4048408355416,368.084529753273,351.8942521380292,358.8167710224171,5271421
2026-04-02,359.3183021376252,360.1000220835959,356.4086769610995,357.27418412341063,6916585
2026-04-03,357.71265499491136,358.1357302037369,357.0293861991829,357.38502256272625,4665157
2026-04-06,357.4442200410083,361.673613250728,355.50455162317974,359.2653284523712,5371333
2026-04-07,358.58494014159874,363.84286713279056,355.13078388545557,362.394383874361,7375528
2026-04-08,361.8973168709421,364.5143660086648,361.00538327129755,363.4379215513228,7285329
2026-04-09,362.94789080084007,364.9867324700245,355.028894357191,359.089729999519,6165013
2026-04-10,358.8883025546472,365.23400848769506,349.4588090755809,353.56672044180505,6084441
2026-04-13,353.3112692009256,355.89821061161524,350.1577914784691,351.5218129746826,3976418
2026-04-14,351.2025429589198,353.83261386925585,344.29981148061904,347.7575189183443,7180244
2026-04-15,347.37902028397457,364.33891824270705,335.5720367718256,356.2078357032872,8733249
2026-04-16,355.8342949743992,381.20672635683746,339.3619408550121,367.0014355158538,6380773
2026-04-17,366.3508579201756,397.0038372141324,353.0087320476086,379.49095696303846,6351353
2026-04-20,379.9352944891038,382.52654818371536,369.5705345216985,374.95548537925606,4224963
2026-04-21,375.4909276813805,376.1330649585416,374.5760117167139,374.9397362493529,6609218
2026-04-22,374.75450479602966,385.73338386894795,359.9721196403603,366.60257226224564,4522487
2026-04-23,367.0017389408684,371.8988260528773,355.03830936598246,357.94064136321873,4001414
2026-04-24,358.0248400731326,363.3517846030324,350.2544505642088,353.8135342166027,3508481
2026-04-27,353.99451060489827,354.17861327446565,353.92503547916033,354.0982792424006,6146962
2026-04-28,353.8483679820688,359.39127311241765,352.81953148193054,358.5578665955302,6087414
2026-04-29,358.6583297369397,368.65226099644724,352.7555104355642,364.0212790514569,8641767
2026-04-30,364.3456892674412,379.10671890725774,345.3483709459946,351.0112750642698,4749396
2026-05-01,351.6998493789188,352.85508603446414,351.05558131696245,352.23422420645153,9426851
2026-05-04,352.7503898659764,353.1923601826142,350.60104731785407,351.07378245812134,5019744
2026-05-05,351.59397167866393,356.29721022285895,343.78467909857176,347.3391550660858,3957876
2026-05-06,346.79421974056874,350.03988104960115,327.56643379521296,332.4499746109694,4304582
2026-05-07,332.7832499579701,334.62343966283834,327.95812735172603,330.81647120839517,6254699
2026-05-08,330.620519688643,332.8143984946017,329.2819654441155,331.9299678206544,5049895
2026-05-11,331.69648167816274,333.57796465194883,330.3841265319988,332.778203815823,6498388
2026-05-12,332.21749188749675,332.80245017489017,330.7360354736684,331.4059353955797,7156931
2026-05-13,330.96062675077457,345.1169376278851,327.14540921054487,337.69592274379096,8907932
2026-05-14,337.1524545696794,340.7078671644268,326.638145567976,331.44363006319173,4150518
2026-05-15,331.96470237340424,335.98094210879697,319.13677000418824,323.95467069611857,4671884
2026-05-18,323.76534921316977,323.91403351357843,322.7414607505634,323.09493437447384,4211111
2026-05-19,323.6084773913743,326.75640982764475,323.09779648447386,325.6778516469675,9162266
2026-05-20,325.9607790936418,327.68848052897346,321.8541924511879,324.27866987750855,3454239
2026-05-21,324.2318120632765,328.17980481645344,314.4872672466391,318.4290312232741,7464634
2026-05-22,317.90179818505874,321.04905779569305,303.2226064289438,309.3885365406006,6792754
2026-05-25,309.4087543031827,310.8155350284176,308.9641863716148,310.21592891378305,6719635
2026-05-26,310.1500546151012,320.14600757940804,305.78685463009106,315.6186731521461,8177583
2026-05-27,316.0945802982503,319.7809808227331,315.52242657651664,319.2320086464047,8173918
2026-05-28,319.1236135896557,320.0401075514174,315.820284304548,317.23335547927445,4808164
2026-05-29,317.11490839659785,320.3829614404002,306.66616642529516,309.18947934558486,6947432
2026-06-01,308.6879805624768,309.07050825327946,308.5864787578561,308.967508957219,9589488
2026-06-02,308.3972480559141,309.5788958657253,300.8097651765905,302.02194578507783,3216922
2026-06-03,301.6300957443851,307.658644095338,300.13490462715765,305.8487015456127,6809243
2026-06-04,306.3239301935851,306.7415544623028,306.19753822987286,306.5200769526708,9664274
2026-06-05,306.29886997738924,308.22670734089036,301.72999283954596,303.32620889021814,5528128
2026-06-08,303.20124813790414,307.6268909077189,301.8373297238561,306.49922539709485,4159651
2026-06-09,306.9242449732135,308.74257616600676,301.0552671771786,301.7464679800019,6407722
2026-06-10,302.2680735438699,302.72953259887595,301.9322382280535,302.5519787875968,6960361
2026-06-11,302.10309572631917,302.2819478301232,301.52983191335903,301.69351586227367,6039591
2026-06-12,302.2455691595836,307.2455665851057,299.2982990936658,304.5465366983399,4066451
2026-06-15,304.2370468808594,311.8045125645521,293.62372412712534,299.3151159731709,7281405
2026-06-16,299.554407697915,301.004073113066,291.83749597214603,293.4171906363725,7263738
2026-06-17,293.41112442145567,294.9731247967098,292.5302963190579,294.17433279363826,5044748
2026-06-18,294.33625658752703,302.2666392390726,291.5233148363885,298.331476348062,6532033
2026-06-19,298.8350861295153,306.60385742694524,285.6042890500706,289.6016121132723,6409290
2026-06-22,289.9824252043556,299.417661760063,279.5365146589756,283.8219320457383,6357317
2026-06-23,283.56677904723824,297.15978822301594,272.79372144122414,289.8572480770648,6839856
2026-06-24,289.57154759305627,290.15986990085577,287.78905965583414,288.2293649112051,4733349
2026-06-25,288.1569623186215,291.22971804593595,286.7401248795692,290.4469958874927,5450748
2026-06-26,290.3815946114208,297.5334292954325,287.56543247235334,294.347943684,6620920
2026-06-29,294.65500846816957,299.0357324224849,280.939341805216,289.44663145893645,3752196
2026-06-30,289.9732083853708,294.8443356345946,279.0217969785153,284.1121385866754,5579929
2026-07-01,283.75429583771086,303.63766216660116,268.79794155432967,294.7463776681412,9601660
2026-07-02,294.76123040740043,295.795750120375,294.4512271986831,295.63868652960855,6816003
2026-07-03,295.6814766962631,296.5005287593532,295.57732323031627,296.3676662008788,5670972
2026-07-06,296.18753644749825,298.95740801951024,295.2511811596901,297.94384912380275,6739140
2026-07-07,297.43350893448286,297.8113629115473,292.9396470208556,293.67790707397825,3243218
2026-07-08,293.70384667844337,295.1797880303331,289.2185307195841,291.7214268828616,4655810
2026-07-09,292.05119586921455,295.6655233057428,289.77621511585994,293.7153413155967,9139333
2026-07-10,293.67532675605054,295.9762561823942,292.19588032879165,294.92113921823875,5162533
2026-07-13,294.5025006587236,295.98635310101747,293.32467332921266,295.2299065421204,6485483
2026-07-14,295.5808782711189,302.9099782978854,292.9615510406867,298.76403129554967,7204805
2026-07-15,298.6564588331964,303.4620030672407,289.03688302262776,292.80161050083507,7383089
2026-07-16,292.8373566544837,301.0288569546992,278.05041123786134,281.7226350439183,3020377
2026-07-17,282.2032535207577,285.4024409501891,269.08882732713596,273.56294438556256,6859405
2026-07-20,273.02225884375684,273.5224896177762,272.4630783464334,272.7193807490225,6773484
2026-07-21,273.1316911921685,274.50846241698764,271.9050262322474,273.7616029772412,4100768
2026-07-22,273.6501205062203,291.36835661621717,268.1190486511304,282.95963309165796,7009416
2026-07-23,283.4410268628018,285.47250831107766,283.10543131722847,284.6572141655788,8426208
2026-07-24,284.8895996957945,284.94226558249335,284.7749817512094,284.8254471699373,4810058
2026-07-27,284.33956916080774,284.9139748760524,284.19576616969897,284.84501541703884,5968519
2026-07-28,284.9451616030314,285.85660358676586,279.56241350947136,280.8268820647416,5042146
2026-07-29,281.1120372808538,285.5932055005436,278.215059541384,283.70585982783086,5005096
2026-07-30,284.02460410056744,291.66311069320045,273.29763590760325,278.281627725933,5736097
